0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:03 +0800] "GET /plailing/app/css/libs/katex/0.6.0/katex.min.css HTTP/1.1" 200 20641
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:03 +0800] "GET /plailing/app/css/libs/bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 200 147135
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:03 +0800] "GET /plailing/css/jquery.slider.css HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/app/css/libs/videojs/5.11.7/video-js.min.css HTTP/1.1" 200 41117
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/app/css/dest/styles.css HTTP/1.1" 200 182691
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/img/logo.png HTTP/1.1" 200 24703
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/img/ncn1.jpg HTTP/1.1" 200 89411
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/jquery/2.2.4/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/highlight.js/9.8.0/highlight.min.js HTTP/1.1" 200 44717
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/ace/1.2.5/ace.js HTTP/1.1" 200 354294
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/plupload/2.1.9/js/plupload.full.min.js HTTP/1.1" 200 113501
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/zeroclipboard/2.2.0/ZeroClipboard.min.js HTTP/1.1" 200 29911
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/jspdf/1.2.61/jspdf.min.js HTTP/1.1" 200 297659
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/app/dest/lib/lib.js?=2016121272249 HTTP/1.1" 200 611244
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/aliyun/aliyun-oss-sdk-4.3.0.min.js HTTP/1.1" 200 369173
