127.0.0.1 - - [23/Dec/2018:18:38:00 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:04 +0800] "GET /plailing/main.jsp HTTP/1.1" 200 25054
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:04 +0800] "GET /plailing/static/highlight.js/9.8.0/monokai-sublime.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:04 +0800] "GET /plailing/app/css/libs/bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:04 +0800] "GET /plailing/app/css/libs/katex/0.6.0/katex.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:04 +0800] "GET /plailing/app/css/libs/videojs/5.11.7/video-js.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/js/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/static/font-awesome//4.7.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/app/css/dest/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/css/jquery.slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/static/jquery/2.2.4/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/app/dest/lib/lib.js?=2016121272249 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/static/aliyun/aliyun-oss-sdk-4.3.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/static/highlight.js/9.8.0/highlight.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/static/jspdf/1.2.61/jspdf.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2018:18:38:05 +0800] "GET /plailing/static/ace/1.2.5/ace.js HTTP/1.1" 304 -
